SYMBOL	gene_tot_lof	gene_tot_obs	gene_lof_rate
ALDH1A2	13	76101	0.000170825613329654
ALDH1A2-AS1	61	76144	0.0008011136793444
ALDH1A3	14	76155	0.000183835598450529
ALDH1B1	1712	76167	0.0224769257027322
ALDH1L1	148	76184	0.00194266512653576
ALDH1L1-AS1	8	76112	0.000105108261509355
ALDH1L2	301	76174	0.00395147950744348
ALDH2	38	76169	0.000498890624794864
ALDH3A1	120	76153	0.00157577508436962
ALDH3A2	47	76166	0.000617073234776672
ALDH3B1	79	76181	0.00103700397736969
ALDH3B2	137	76187	0.00179820704319635
ALDH4A1	84	76197	0.00110240560651994
